iter	Passed	Remaining
1127	79437	61409
1128	79508	61338
1129	79579	61268
1130	79650	61199
1131	79721	61129
1132	79795	61061
1133	79876	60999
1134	79951	60932
1135	80024	60864
1136	80096	60794
1137	80169	60725
1138	80240	60656
1139	80313	60587
1140	80389	60521
1141	80464	60453
1142	80534	60383
1143	80606	60314
1144	80678	60244
1145	80749	60174
1146	80822	60106
1147	80896	60038
1148	80970	59970
1149	81040	59899
1150	81115	59832
1151	81186	59761
1152	81257	59692
1153	81329	59622
1154	81399	59552
1155	81482	59490
1156	81561	59426
1157	81633	59357
1158	81704	59286
1159	81776	59217
1160	81847	59147
1161	81919	59078
1162	82000	59014
1163	82074	58946
1164	82146	58877
1165	82218	58807
1166	82289	58737
1167	82361	58668
1168	82433	58599
1169	82508	58531
1170	82582	58463
1171	82653	58393
1172	82726	58324
1173	82798	58255
1174	82870	58185
1175	82941	58115
1176	83019	58050
1177	83099	57986
1178	83171	57916
1179	83243	57847
1180	83316	57778
1181	83389	57709
1182	83461	57639
1183	83533	57570
1184	83610	57504
1185	83680	57433
1186	83751	57363
1187	83824	57293
1188	83895	57224
1189	83967	57154
1190	84038	57084
1191	84116	57018
1192	84188	56948
1193	84259	56878
1194	84331	56809
1195	84409	56743
1196	84480	56672
1197	84553	56604
1198	84628	56536
1199	84703	56468
1200	84774	56398
1201	84846	56329
1202	84919	56259
1203	84990	56189
1204	85061	56119
1205	85135	56051
1206	85213	55985
1207	85285	55915
1208	85357	55846
1209	85431	55777
1210	85502	55707
1211	85574	55637
1212	85647	55568
1213	85723	55501
1214	85796	55432
1215	85867	55362
1216	85940	55292
1217	86011	55222
1218	86084	55153
1219	86157	55084
1220	86231	55016
1221	86305	54947
1222	86379	54878
1223	86452	54809
1224	86524	54740
1225	86596	54669
1226	86665	54598
1227	86738	54529
1228	86813	54461
1229	86885	54391
1230	86958	54322
1231	87030	54252
1232	87104	54184
1233	87177	54115
1234	87249	54045
1235	87326	53978
1236	87402	53911
1237	87477	53843
1238	87555	53777
1239	87633	53711
1240	87709	53643
1241	87780	53573
1242	87859	53507
1243	87945	53445
1244	88020	53377
1245	88098	53311
1246	88178	53246
1247	88253	53178
1248	88326	53109
1249	88406	53044
1250	88481	52975
1251	88556	52907
1252	88631	52839
1253	88706	52770
1254	88780	52702
1255	88856	52634
1256	88941	52572
1257	89017	52504
1258	89091	52435
1259	89165	52367
1260	89241	52299
1261	89315	52230
1262	89390	52162
1263	89472	52097
1264	89545	52028
1265	89620	51960
1266	89696	51892
1267	89774	51825
1268	89849	51757
1269	89924	51688
1270	90009	51626
1271	90085	51558
1272	90159	51489
1273	90238	51423
1274	90312	51354
1275	90387	51285
1276	90466	51219
1277	90545	51153
1278	90621	51085
1279	90699	51018
1280	90775	50950
1281	90853	50883
1282	90930	50816
1283	91012	50751
1284	91091	50685
1285	91165	50616
1286	91242	50548
1287	91315	50478
1288	91387	50408
1289	91459	50338
1290	91534	50269
1291	91609	50201
1292	91684	50131
1293	91757	50062
1294	91829	49992
1295	91903	49922
1296	91975	49852
1297	92046	49781
1298	92123	49714
1299	92201	49646
1300	92273	49576
1301	92344	49505
1302	92419	49436
1303	92491	49366
1304	92563	49296
1305	92642	49229
1306	92717	49160
1307	92789	49090
1308	92861	49020
1309	92932	48949
1310	93006	48879
1311	93078	48809
1312	93154	48740
1313	93230	48672
1314	93302	48602
1315	93374	48531
1316	93446	48461
1317	93518	48391
1318	93590	48320
1319	93663	48250
1320	93739	48182
1321	93813	48112
1322	93883	48041
1323	93956	47971
1324	94029	47901
1325	94101	47831
1326	94173	47761
1327	94250	47693
1328	94323	47622
1329	94394	47552
1330	94465	47481
1331	94538	47411
1332	94609	47340
1333	94680	47269
1334	94757	47201
1335	94831	47131
1336	94902	47060
1337	94974	46990
1338	95052	46922
1339	95126	46853
1340	95198	46782
1341	95273	46713
1342	95348	46644
1343	95421	46574
1344	95491	46503
1345	95566	46434
1346	95638	46363
1347	95709	46292
1348	95781	46222
1349	95859	46154
1350	95932	46084
1351	96005	46014
1352	96078	45944
1353	96151	45874
1354	96223	45803
1355	96296	45733
1356	96373	45665
1357	96447	45595
1358	96519	45525
1359	96594	45456
1360	96667	45386
1361	96739	45315
1362	96812	45245
1363	96888	45176
1364	96962	45107
1365	97034	45036
1366	97105	44965
1367	97178	44895
1368	97250	44824
1369	97322	44753
1370	97397	44684
1371	97474	44616
1372	97545	44545
1373	97767	44543
1374	97842	44473
1375	97926	44408
1376	98002	44339
1377	98075	44269
1378	98147	44198
1379	98219	44127
1380	98291	44056
1381	98362	43985
1382	98434	43914
1383	98512	43846
1384	98587	43777
1385	98659	43706
1386	98732	43636
1387	98805	43565
1388	98878	43495
1389	98949	43424
1390	99026	43355
1391	99100	43285
1392	99173	43214
1393	99246	43144
1394	99318	43073
1395	99394	43004
1396	99467	42934
1397	99544	42865
1398	99619	42795
1399	99692	42725
1400	99764	42654
1401	99837	42583
1402	99911	42513
1403	99983	42442
1404	100058	42373
1405	100136	42305
1406	100209	42234
1407	100283	42164
1408	100356	42094
1409	100429	42023
1410	100502	41953
1411	100575	41882
1412	100653	41814
1413	100726	41743
1414	100799	41673
1415	100873	41603
1416	100947	41533
1417	101022	41463
1418	101095	41392
1419	101173	41324
1420	101248	41254
1421	101322	41184
1422	101395	41114
1423	101469	41043
1424	101541	40972
1425	101614	40902
1426	101691	40833
1427	101765	40763
1428	101839	40693
1429	101916	40624
1430	101988	40552
1431	102060	40482
1432	102133	40411
1433	102209	40342
1434	102283	40271
1435	102355	40201
1436	102429	40130
1437	102501	40059
1438	102574	39989
1439	102647	39918
1440	102724	39849
1441	102799	39779
1442	102872	39709
1443	102952	39640
1444	103025	39570
1445	103096	39499
1446	103171	39428
1447	103246	39359
1448	103328	39291
1449	103405	39222
1450	103476	39151
1451	103549	39080
1452	103621	39009
1453	103693	38938
1454	103766	38868
1455	103844	38799
1456	103918	38728
1457	103993	38658
1458	104067	38588
1459	104142	38518
1460	104217	38448
1461	104291	38377
1462	104370	38309
1463	104447	38240
1464	104523	38170
1465	104598	38100
1466	104673	38030
1467	104748	37960
1468	104825	37891
1469	104903	37822
1470	104977	37752
1471	105050	37681
1472	105122	37609
1473	105195	37539
1474	105268	37468
1475	105341	37397
1476	105420	37328
1477	105495	37258
1478	105568	37187
1479	105644	37118
1480	105720	37048
1481	105793	36977
1482	105867	36907
1483	105943	36837
1484	106019	36767
1485	106092	36696
1486	106163	36625
1487	106236	36554
1488	106310	36483
1489	106384	36413
1490	106461	36343
1491	106534	36273
1492	106608	36202
1493	106681	36131
1494	106754	36060
1495	106827	35989
1496	106899	35918
1497	106973	35848
1498	107051	35778
1499	107125	35708
1500	107199	35637
1501	107272	35566
1502	107343	35495
1503	107416	35424
1504	107489	35353
1505	107567	35284
1506	107639	35213
1507	107712	35142
1508	107785	35071
1509	107857	35000
1510	107929	34928
1511	108001	34857
1512	108079	34788
1513	108151	34717
1514	108225	34646
1515	108297	34575
1516	108371	34504
1517	108444	34433
1518	108520	34363
1519	108598	34294
1520	108671	34223
1521	108745	34152
1522	108818	34081
1523	108894	34011
1524	108968	33940
1525	109042	33870
1526	109118	33800
1527	109193	33730
1528	109267	33659
1529	109339	33587
1530	109412	33516
1531	109485	33445
1532	109558	33375
1533	109634	33304
1534	109710	33234
1535	109782	33163
1536	109854	33092
1537	109927	33021
1538	110001	32950
1539	110074	32879
1540	110146	32808
1541	110223	32738
1542	110297	32667
1543	110369	32596
1544	110442	32525
1545	110514	32453
1546	110587	32382
1547	110667	32313
1548	110745	32244
1549	110820	32173
1550	110894	32102
1551	110967	32031
1552	111041	31960
1553	111112	31889
1554	111189	31819
1555	111266	31749
1556	111341	31679
1557	111414	31608
1558	111488	31537
1559	111562	31466
1560	111634	31394
1561	111706	31323
1562	111784	31253
1563	111859	31183
1564	111938	31113
1565	112011	31042
1566	112084	30971
1567	112156	30900
1568	112230	30829
1569	112307	30759
1570	112383	30689
1571	112457	30618
1572	112530	30547
1573	112602	30475
1574	112675	30404
1575	112749	30333
1576	112822	30262
1577	112900	30192
1578	112977	30122
1579	113052	30051
1580	113126	29981
1581	113199	29909
1582	113273	29839
1583	113347	29768
1584	113424	29697
1585	113499	29627
1586	113571	29555
1587	113650	29486
1588	113724	29415
1589	113798	29344
1590	113872	29273
1591	113952	29204
1592	114026	29133
1593	114100	29061
1594	114173	28990
1595	114245	28919
1596	114318	28848
1597	114393	28777
1598	114470	28707
1599	114546	28636
1600	114621	28565
1601	114695	28494
1602	114768	28423
1603	114840	28352
1604	114912	28280
1605	114989	28210
1606	115068	28140
1607	115152	28072
1608	115234	28002
1609	115309	27932
1610	115383	27860
1611	115455	27789
1612	115533	27719
1613	115607	27648
1614	115679	27576
1615	115752	27505
1616	115826	27434
1617	115903	27364
1618	115976	27292
1619	116052	27222
1620	116128	27151
1621	116201	27080
1622	116278	27009
1623	116354	26939
1624	116428	26868
1625	116503	26797
1626	116578	26726
1627	116653	26655
1628	116725	26583
1629	116798	26512
1630	116871	26441
1631	116942	26369
1632	117018	26298
1633	117106	26230
1634	117182	26159
1635	117254	26088
1636	117327	26016
1637	117400	25945
1638	117471	25873
1639	117543	25802
1640	117616	25730
1641	117693	25660
1642	117764	25588
1643	117837	25517
1644	117908	25445
1645	117982	25374
1646	118053	25302
1647	118126	25230
1648	118203	25160
1649	118277	25089
1650	118351	25017
1651	118424	24946
1652	118498	24875
1653	118570	24803
1654	118643	24732
1655	118720	24661
1656	118795	24590
1657	118868	24519
1658	118942	24448
1659	119019	24377
1660	119093	24306
1661	119166	24234
